Carrera,Biologicos,Mecanicos,Campestres,Geofisicos,Sociales,Literarios,Organizacion,Persuasivo,Calculo,Contabilidad,Musical,Artistico,Cientificos
0,31,41,31,32,30,26,36,32,45,33,39,30,38
0,48,44,40,45,45,46,44,38,48,39,46,46,49
0,40,40,40,40,40,40,39,40,40,40,39,40,40
0,33,40,35,34,31,31,31,36,34,31,35,33,34
0,34,39,34,38,40,36,37,36,38,38,36,33,36
0,31,46,29,31,32,35,50,39,49,50,34,39,35
2,44,30,27,35,30,42,40,33,39,38,32,42,45
0,19,24,12,11,16,16,28,16,39,22,14,17,22
0,32,27,24,30,27,29,33,33,22,28,24,30,28
0,38,40,29,32,28,28,33,21,41,25,30,26,35
0,29,36,31,33,30,24,31,28,33,34,26,32,28
0,23,39,31,38,12,29,42,24,39,38,13,30,20
0,37,39,38,42,34,28,37,36,27,38,34,46,32
